order_id,datetime,product_name,quantity,price
1,2019-08-03 20:25:00,Plain Papadum,2,0.8
1,2019-08-03 20:25:00,King Prawn Balti,1,12.95
1,2019-08-03 20:25:00,Garlic Naan,1,2.95
1,2019-08-03 20:25:00,Mushroom Rice,1,3.95
1,2019-08-03 20:25:00,Paneer Tikka Masala,1,8.95
1,2019-08-03 20:25:00,Mango Chutney,1,0.5
2,2019-08-03 20:17:00,Plain Naan,1,2.6
2,2019-08-03 20:17:00,Mushroom Rice,1,3.95
2,2019-08-03 20:17:00,Tandoori Chicken (1/4),1,4.95
2,2019-08-03 20:17:00,Vindaloo - Lamb,1,7.95
2,2019-08-03 20:17:00,Chapati,1,1.95
2,2019-08-03 20:17:00,Lamb Tikka,1,4.95
2,2019-08-03 20:17:00,Saag Paneer,1,5.95
3,2019-08-03 20:09:00,Aloo Chaat,1,4.95
3,2019-08-03 20:09:00,Chicken Pakora,1,5.95
3,2019-08-03 20:09:00,Chicken Chilli Garlic,1,9.95
3,2019-08-03 20:09:00,Lamb Biryani,1,9.95
3,2019-08-03 20:09:00,Keema Naan,1,2.95
4,2019-08-03 20:01:00,Chicken Pakora,1,5.95
4,2019-08-03 20:01:00,Plain Papadum,1,0.8
4,2019-08-03 20:01:00,Mango Chutney,1,0.5
4,2019-08-03 20:01:00,Red Sauce,1,0.5
4,2019-08-03 20:01:00,Korma - Prawn,1,9.95
4,2019-08-03 20:01:00,Peshwari Naan,1,2.95
4,2019-08-03 20:01:00,Pilau Rice,1,2.95
5,2019-08-03 19:44:00,Chicken Balti,1,9.95
5,2019-08-03 19:44:00,Special Fried Rice,2,3.95
6,2019-08-03 19:42:00,Chicken Tikka Masala,1,8.95
6,2019-08-03 19:42:00,Curry - Lamb,1,7.95
6,2019-08-03 19:42:00,Pilau Rice,1,2.95
6,2019-08-03 19:42:00,Peshwari Naan,1,2.95
6,2019-08-03 19:42:00,Plain Papadum,1,0.8
7,2019-08-03 19:41:00,Plain Papadum,2,0.8
7,2019-08-03 19:41:00,Vegetable Rice,1,3.95
7,2019-08-03 19:41:00,Saag - Prawn,1,9.95
7,2019-08-03 19:41:00,Tandoori Chicken Masala,1,8.95
8,2019-08-03 19:29:00,Pilau Rice,1,2.95
8,2019-08-03 19:29:00,Lamb Tikka Chilli Masala,1,8.95
8,2019-08-03 19:29:00,Peshwari Naan,1,2.95
8,2019-08-03 19:29:00,Saag Aloo,1,5.95
9,2019-08-03 19:28:00,Aloo Gobi,1,5.95
9,2019-08-03 19:28:00,Bhindi Bhajee,1,5.95
9,2019-08-03 19:28:00,Saag Paneer,1,5.95
9,2019-08-03 19:28:00,Mint Sauce,2,0.5
9,2019-08-03 19:28:00,Chicken Biryani,1,9.95
9,2019-08-03 19:28:00,Garlic Naan,1,2.95
9,2019-08-03 19:28:00,Plain Naan,1,2.6
9,2019-08-03 19:28:00,Tandoori Chicken Masala,1,8.95
10,2019-08-03 19:26:00,Plain Papadum,4,0.8
10,2019-08-03 19:26:00,Red Sauce,2,0.5
10,2019-08-03 19:26:00,Chicken Tikka Masala,1,8.95
10,2019-08-03 19:26:00,Madras - Chicken Tikka,1,7.95
10,2019-08-03 19:26:00,Mushroom Rice,2,3.95
10,2019-08-03 19:26:00,Garlic Naan,1,2.95
10,2019-08-03 19:26:00,Bombay Aloo,1,5.95
11,2019-08-03 19:25:00,Onion Bhajee,1,3.95
11,2019-08-03 19:25:00,Sheek Kebab,1,4.95
11,2019-08-03 19:25:00,Plain Papadum,8,0.8
11,2019-08-03 19:25:00,Mango Chutney,2,0.5
11,2019-08-03 19:25:00,Mint Sauce,2,0.5
11,2019-08-03 19:25:00,Onion Chutney,1,0.5
11,2019-08-03 19:25:00,Chicken Tikka (Main),1,8.95
11,2019-08-03 19:25:00,Korma - Chicken,1,8.95
11,2019-08-03 19:25:00,Chicken Tikka Masala,1,8.95
11,2019-08-03 19:25:00,Plain Rice,1,2.95
11,2019-08-03 19:25:00,Pilau Rice,1,2.95
11,2019-08-03 19:25:00,Keema Naan,2,2.95
11,2019-08-03 19:25:00,French Fries,1,3.95
11,2019-08-03 19:25:00,Chicken Biryani,1,9.95
11,2019-08-03 19:25:00,Mushroom Rice,1,3.95
12,2019-08-03 19:16:00,Onion Bhajee,1,3.95
12,2019-08-03 19:16:00,Korma - Chicken,1,8.95
12,2019-08-03 19:16:00,Peshwari Naan,1,2.95
12,2019-08-03 19:16:00,Pilau Rice,1,2.95
13,2019-08-03 18:37:00,Chicken Tikka (Main),1,8.95
13,2019-08-03 18:37:00,Chicken Tikka Masala,1,8.95
13,2019-08-03 18:37:00,Meat Samosa,1,3.95
14,2019-08-03 18:36:00,Plain Papadum,2,0.8
14,2019-08-03 18:36:00,Mango Chutney,1,0.5
14,2019-08-03 18:36:00,Mint Sauce,1,0.5
14,2019-08-03 18:36:00,Red Sauce,1,0.5
14,2019-08-03 18:36:00,Keema Rice,1,3.95
14,2019-08-03 18:36:00,Keema Naan,1,2.95
14,2019-08-03 18:36:00,Chicken Chilli Garlic,1,9.95
14,2019-08-03 18:36:00,Lamb Hari Mirch,1,9.95
14,2019-08-03 18:36:00,Mushroom Bhajee,1,5.95
15,2019-08-03 18:36:00,Curry - Chicken,1,7.95
15,2019-08-03 18:36:00,Bombay Aloo,1,5.95
15,2019-08-03 18:36:00,Plain Naan,1,2.6
15,2019-08-03 18:36:00,Vegetable Rice,1,3.95
16,2019-08-03 18:34:00,Chicken Tikka Biryani,1,10.95
16,2019-08-03 18:34:00,Mixed Starter,1,5.95
17,2019-08-03 18:32:00,Onion Bhajee,1,3.95
17,2019-08-03 18:32:00,Chicken Tikka Biryani,1,10.95
17,2019-08-03 18:32:00,Bhuna - Chicken Tikka,1,8.95
17,2019-08-03 18:32:00,Mushroom Rice,1,3.95
18,2019-08-03 18:12:00,Keema Rice,1,3.95
18,2019-08-03 18:12:00,Madras - Lamb,1,7.95
18,2019-08-03 18:12:00,Bombay Aloo,1,5.95
19,2019-08-03 18:00:00,Masala Sauce,1,3.95
19,2019-08-03 18:00:00,Mushroom Rice,1,3.95
19,2019-08-03 18:00:00,Bottle Coke,1,2.95
19,2019-08-03 18:00:00,Peshwari Naan,1,2.95
19,2019-08-03 18:00:00,Tandoori Mixed Grill,2,11.95
19,2019-08-03 18:00:00,Plain Papadum,3,0.8
19,2019-08-03 18:00:00,Mint Sauce,1,0.5
19,2019-08-03 18:00:00,Mango Chutney,1,0.5
19,2019-08-03 18:00:00,Korma Sauce,1,3.95
20,2019-08-03 17:58:00,Pathia - Prawn,1,9.95
20,2019-08-03 17:58:00,Chicken Biryani,1,9.95
20,2019-08-03 17:58:00,Peshwari Naan,2,2.95
20,2019-08-03 17:58:00,Plain Papadum,1,0.8
20,2019-08-03 17:58:00,Mint Sauce,1,0.5
21,2019-08-03 17:57:00,Chicken Tikka Jalfrezi,1,8.95
21,2019-08-03 17:57:00,Bhuna - Lamb,1,8.95
21,2019-08-03 17:57:00,Special Fried Rice,2,3.95
21,2019-08-03 17:57:00,Peshwari Naan,1,2.95
21,2019-08-03 17:57:00,Aloo Gobi,1,5.95
21,2019-08-03 17:57:00,Chicken Tikka Masala,1,8.95
22,2019-08-03 17:52:00,Meat Samosa,1,3.95
22,2019-08-03 17:52:00,Mixed Vegetable Curry,1,5.95
